col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25
_25,England,_1904,Right,_4,_3,Medium/ Low,Normal,7,7,8,8,8,8,8,6,8,7,4,7,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
_31,France,_1657,Left,_4,_2,Medium/ Medium,Normal,6,4,6,5,6,5,6,6,5,7,7,5,7,7,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
_18,England,_1652,Right,_3,_3,High/ High,Normal,6,5,5,6,6,8,8,5,7,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
_18,Sweden,_1348,Right,_3,_2,Medium/ Medium,Lean,3,6,5,5,5,7,6,6,7,5,2,4,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
_33,Ghana,_1587,Left,_2,_2,Medium/ Low,Normal,6,5,6,6,6,8,8,5,7,4,6,4,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_28,United States,_1856,Left,_1,_3,High/ Medium,Lean,7,5,7,6,7,8,8,7,7,7,7,6,6,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
_24,Luxembourg,_1736,Right,_3,_2,Medium/ Medium,Normal,6,2,7,7,7,6,6,6,7,5,7,5,5,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
_30,Sweden,_1936,Right,_4,_3,Medium/ Medium,Lean,8,6,8,7,7,5,5,8,7,8,8,8,6,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_23,Republic of Ireland,_1738,Right,_3,_3,High/ Medium,Lean,7,7,5,7,7,9,8,7,7,7,3,7,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
_22,Spain,_1493,Right,_3,_3,Medium/ Medium,Normal,4,7,4,7,7,7,7,6,7,6,2,4,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
