col_0,col_1,col_2,col_3,col_4,col_5,label_0,label_1,label_2
usual,proper,complete,1,recommended,recommend,1,1,1
usual,proper,complete,1,priority,priority,1,1,1
usual,proper,complete,1,not_recom,not_recom,1,1,1
usual,proper,complete,1,recommended,recommend,1,1,0
usual,proper,complete,1,priority,priority,1,1,0
usual,proper,complete,1,not_recom,not_recom,1,1,0
usual,proper,complete,1,recommended,priority,1,1,0
usual,proper,complete,1,recommended,very_recom,1,0,1
usual,proper,complete,1,priority,priority,1,0,1
usual,proper,complete,1,not_recom,not_recom,1,0,1
usual,proper,complete,1,recommended,very_recom,1,0,0
usual,proper,complete,1,priority,priority,1,0,0
usual,proper,complete,1,not_recom,not_recom,1,0,0
usual,proper,complete,1,recommended,priority,1,0,0
usual,proper,complete,1,recommended,very_recom,0,1,1
usual,proper,complete,1,priority,priority,0,1,1
usual,proper,complete,1,not_recom,not_recom,0,1,1
usual,proper,complete,1,recommended,very_recom,0,1,0
usual,proper,complete,1,priority,priority,0,1,0
usual,proper,complete,1,not_recom,not_recom,0,1,0
usual,proper,complete,1,recommended,priority,0,1,0
usual,proper,complete,1,recommended,very_recom,0,0,1
usual,proper,complete,1,priority,priority,0,0,1
usual,proper,complete,1,not_recom,not_recom,0,0,1
usual,proper,complete,1,recommended,very_recom,0,0,0
usual,proper,complete,1,priority,priority,0,0,0
usual,proper,complete,1,not_recom,not_recom,0,0,0
usual,proper,complete,1,recommended,priority,0,0,0
usual,proper,complete,2,recommended,very_recom,1,1,1
usual,proper,complete,2,priority,priority,1,1,1
usual,proper,complete,2,not_recom,not_recom,1,1,1
usual,proper,complete,2,recommended,very_recom,1,1,0
usual,proper,complete,2,priority,priority,1,1,0
usual,proper,complete,2,not_recom,not_recom,1,1,0
usual,proper,complete,2,recommended,priority,1,1,0
usual,proper,complete,2,recommended,very_recom,1,0,1
usual,proper,complete,2,priority,priority,1,0,1
usual,proper,complete,2,not_recom,not_recom,1,0,1
usual,proper,complete,2,recommended,very_recom,1,0,0
usual,proper,complete,2,priority,priority,1,0,0
usual,proper,complete,2,not_recom,not_recom,1,0,0
usual,proper,complete,2,recommended,priority,1,0,0
usual,proper,complete,2,recommended,very_recom,0,1,1
usual,proper,complete,2,priority,priority,0,1,1
usual,proper,complete,2,not_recom,not_recom,0,1,1
usual,proper,complete,2,recommended,very_recom,0,1,0
usual,proper,complete,2,priority,priority,0,1,0
usual,proper,complete,2,not_recom,not_recom,0,1,0
usual,proper,complete,2,recommended,priority,0,1,0
usual,proper,complete,2,recommended,very_recom,0,0,1
usual,proper,complete,2,priority,priority,0,0,1
usual,proper,complete,2,not_recom,not_recom,0,0,1
usual,proper,complete,2,recommended,very_recom,0,0,0
usual,proper,complete,2,priority,priority,0,0,0
usual,proper,complete,2,not_recom,not_recom,0,0,0
usual,proper,complete,2,recommended,priority,0,0,0
usual,proper,complete,2,recommended,priority,0,1,1
usual,proper,complete,2,recommended,priority,0,0,1
usual,proper,complete,3,recommended,very_recom,1,1,1
usual,proper,complete,3,priority,priority,1,1,1
usual,proper,complete,3,not_recom,not_recom,1,1,1
usual,proper,complete,3,recommended,very_recom,1,1,0
usual,proper,complete,3,priority,priority,1,1,0
usual,proper,complete,3,not_recom,not_recom,1,1,0
usual,proper,complete,3,recommended,priority,1,1,0
usual,proper,complete,3,recommended,priority,1,0,1
usual,proper,complete,3,priority,priority,1,0,1
usual,proper,complete,3,not_recom,not_recom,1,0,1
usual,proper,complete,3,recommended,priority,1,0,0
usual,proper,complete,3,priority,priority,1,0,0
usual,proper,complete,3,not_recom,not_recom,1,0,0
usual,proper,complete,3,recommended,priority,0,1,1
usual,proper,complete,3,priority,priority,0,1,1
usual,proper,complete,3,not_recom,not_recom,0,1,1
usual,proper,complete,3,recommended,priority,0,1,0
usual,proper,complete,3,priority,priority,0,1,0
usual,proper,complete,3,not_recom,not_recom,0,1,0
usual,proper,complete,3,recommended,priority,0,0,1
usual,proper,complete,3,priority,priority,0,0,1
usual,proper,complete,3,not_recom,not_recom,0,0,1
usual,proper,complete,3,recommended,priority,0,0,0
usual,proper,complete,3,priority,priority,0,0,0
usual,proper,complete,3,not_recom,not_recom,0,0,0
